"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",-0.414,6,-0.3489,0.3005,-0.181,-0.717,0.423,0.5,0.3008,-0.181,-0.717,0.423,-0.1992
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.6211,6,-0.6283,0.1497,-0.365,-0.831,0.247,0.5,0.1498,-0.366,-0.831,0.247,-0.3502
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",-0.4201,6,-0.3474,0.3014,-0.18,-0.716,0.424,0.5,0.3017,-0.18,-0.716,0.424,-0.1983
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",-0.3354,6,-0.3429,0.3039,-0.178,-0.714,0.426,0.5,0.3042,-0.178,-0.714,0.426,-0.1958
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.21,6,0.282,0.6608,0.144,-0.456,0.69,0.5,0.6615,0.144,-0.456,0.691,0.1615
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.3674,6,0.4141,0.7348,0.219,-0.388,0.743,0.5,0.7355,0.219,-0.388,0.743,0.2355
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.207,6,-0.2794,0.3396,-0.143,-0.689,0.457,0.5,0.34,-0.143,-0.689,0.457,-0.16
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.533,6,-0.5647,0.1829,-0.317,-0.804,0.295,0.5,0.183,-0.317,-0.804,0.295,-0.317
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0,6,-0,0.4994,0,-0.579,0.579,0.98,0.98,0.228,0.014,0.687,-0
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0,6,-0,0.4994,0,-0.579,0.579,0.98,0.98,0.228,0.014,0.687,-0
