"pred","pred_rovid","csoport","out","out_rovid","r_ns","n","P_expert_prior","P_semleges_prior","n_atbillenes_expert","n_95pct_semleges"
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,25,0.505,0.0204,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,30,0.3536,0.011,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,40,0.1407,0.0033,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,50,0.0481,0.001,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,60,0.0156,3e-4,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,80,0.0016,0,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,100,2e-4,0,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,150,0,0,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,200,0,0,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,300,0,0,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,500,0,0,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,6,0.9863,0.5947,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,8,0.9879,0.6233,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,10,0.9891,0.648,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,12,0.9901,0.6697,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,15,0.9913,0.6979,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,20,0.9928,0.7364,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,25,0.9939,0.7674,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,30,0.9948,0.7933,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,40,0.996,0.8341,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,50,0.9969,0.865,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,60,0.9975,0.8891,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,80,0.9983,0.9236,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,100,0.9989,0.9465,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,150,0.9995,0.977,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,200,0.9998,0.9897,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,300,1,0.9978,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,500,1,0.9999,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,6,0.9736,0.4294,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,8,0.9713,0.408,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,10,0.969,0.3893,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,12,0.9669,0.3727,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,15,0.9637,0.3508,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,20,0.9586,0.3203,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,25,0.9536,0.2948,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,30,0.9486,0.273,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,40,0.9385,0.2369,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,50,0.928,0.2078,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,60,0.917,0.1837,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,80,0.8933,0.1457,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,100,0.867,0.1172,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,150,0.7882,0.0705,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,200,0.6915,0.0437,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,300,0.4684,0.0177,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,500,0.1351,0.0032,300,200
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,6,0.9833,0.5444,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,8,0.9841,0.5582,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,10,0.9849,0.5703,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,12,0.9856,0.5812,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,15,0.9864,0.5956,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,20,0.9875,0.6161,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,25,0.9884,0.6335,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,30,0.9891,0.6488,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,40,0.9903,0.67490000000000006,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,50,0.9913,0.6969,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,60,0.992,0.7159,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,80,0.9932,0.748,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,100,0.9942,0.7744,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,150,0.9958,0.8245,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,200,0.9968,0.8606,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,300,0.998,0.9089,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,500,0.9992,0.9581,,500
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,6,0.9888,0.6431,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,8,0.9907,0.6847,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,10,0.9921,0.7196,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,12,0.9932,0.7492,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,15,0.9945,0.7862,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,20,0.996,0.8333,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,25,0.9969,0.868,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,30,0.9976,0.8945,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,40,0.9985,0.9311,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,50,0.999,0.9541,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,60,0.9994,0.9691,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,80,0.9997,0.9856,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,100,0.9999,0.9931,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,150,1,0.9989,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,200,1,0.9998,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,300,1,1,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,500,1,1,,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,6,0.9644,0.3558,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,8,0.9574,0.3142,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,10,0.95,0.2793,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,12,0.9423,0.2496,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,15,0.9298,0.2127,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,20,0.9069,0.1656,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,25,0.8808,0.1309,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,30,0.8513,0.1045,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,40,0.7818,0.0681,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,50,0.6989,0.0452,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,60,0.6059,0.0304,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,80,0.4123,0.0141,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,100,0.2485,0.0067,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,150,0.0513,0.0011,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,200,0.0092,2e-4,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,300,3e-4,0,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,500,0,0,80,50
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,6,0.9863,0.5952,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,8,0.9879,0.6239,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,10,0.9891,0.6488,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,12,0.9901,0.6706,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,15,0.9913,0.6989,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,20,0.9928,0.7375,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,25,0.9939,0.7686,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,30,0.9948,0.7945,,150
"A12","A12 spinae mentales","Alsó állcsont","s_OHIP","OHIP-5",0.1667,40,0.996,0.8354,,150
