"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.1118,6,0.1703,0.5972,0.085,-0.507,0.647,0.6847,0.7548,0.131,-0.297,0.456,0.0701
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",-0.5251,6,-0.5504,0.1904,-0.307,-0.798,0.305,0.6847,0.418,-0.108,-0.582,0.314,-0.2666
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.1225,6,0.0651,0.5369,0.032,-0.552,0.605,0.6847,0.7165,0.112,-0.324,0.434,0.0318
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",0.6211,6,0.6283,0.8497,0.365,-0.247,0.831,0.6847,0.8922,0.229,-0.167,0.608,0.2075
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",0.4264,6,0.4242,0.7404,0.225,-0.383,0.747,0.6847,0.8361,0.178,-0.232,0.52,0.1514
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.239,6,0.2015,0.615,0.101,-0.493,0.659,0.694,0.7875,0.173,-0.344,0.549,0.0935
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.1195,6,0.1056,0.5602,0.053,-0.535,0.621,0.694,0.7507,0.152,-0.385,0.524,0.0567
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4781,6,-0.4684,0.2345,-0.252,-0.764,0.357,0.694,0.4437,-0.09,-0.643,0.38,-0.2503
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",-0.0606,6,-0.0508,0.4702,-0.025,-0.599,0.558,0.694,0.6827,0.115,-0.45,0.486,-0.0113
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.0645,6,0.0013,0.5002,0.001,-0.578,0.579,0.694,0.7065,0.128,-0.429,0.499,0.0125
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.3032,6,0.3178,0.681,0.164,-0.438,0.704,0.694,0.8279,0.199,-0.295,0.584,0.1339
"A5","A5 · lingualis tasak (izomerő iránya)","A5 lingualis tasak ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.3536,6,-0.3143,0.3199,-0.162,-0.703,0.44,0.694,0.5428,0.034,-0.56,0.423,-0.1512
