"pred","pred_rovid","csoport","out","out_rovid","r_ns","n","P_expert_prior","P_semleges_prior","n_atbillenes_expert","n_95pct_semleges"
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,80,0.9891,0.9236,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,100,0.9929,0.9465,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,150,0.9973,0.977,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,200,0.9989,0.9897,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,300,0.9998,0.9978,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,500,1,0.9999,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,6,0.7972,0.4294,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,8,0.7749,0.408,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,10,0.7531,0.3893,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,12,0.7321,0.3727,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,15,0.7022,0.3508,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,20,0.6571,0.3203,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,25,0.6168,0.2948,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,30,0.5803,0.273,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,40,0.5153,0.2369,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,50,0.4578,0.2078,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,60,0.4063,0.1837,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,80,0.3192,0.1457,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,100,0.2505,0.1172,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,150,0.1386,0.0705,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,200,0.0793,0.0437,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,300,0.0282,0.0177,50,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.1219,500,0.0044,0.0032,50,200
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,6,0.733,0.5444,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,8,0.7461,0.5582,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,10,0.7576,0.5703,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,12,0.7679,0.5812,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,15,0.7814,0.5956,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,20,0.8002,0.6161,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,25,0.8156,0.6335,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,30,0.8287,0.6488,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,40,0.8496,0.67490000000000006,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,50,0.8658,0.6969,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,60,0.8789,0.7159,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,80,0.899,0.748,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,100,0.9139,0.7744,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,150,0.9387,0.8245,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,200,0.9542,0.8606,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,300,0.9725,0.9089,,500
"A12","A12 spinae mentales","Alsó állcsont","s_GOHAI","GOHAI",0.0782,500,0.9886,0.9581,,500
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,6,0.793,0.6431,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,8,0.8217,0.6847,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,10,0.8454,0.7196,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,12,0.8653,0.7492,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,15,0.8895,0.7862,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,20,0.919,0.8333,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,25,0.9394,0.868,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,30,0.954,0.8945,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,40,0.9724,0.9311,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,50,0.9828,0.9541,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,60,0.989,0.9691,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,80,0.9953,0.9856,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,100,0.9979,0.9931,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,150,0.9997,0.9989,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,200,0.9999,0.9998,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,300,1,1,,50
"A12","A12 spinae mentales","Alsó állcsont","s_INDEX","Siker-index",0.2507,500,1,1,,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,6,0.5902,0.3558,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,8,0.5518,0.3142,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,10,0.5145,0.2793,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,12,0.4786,0.2496,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,15,0.4276,0.2127,12,50
"A12","A12 spinae mentales","Alsó állcsont","s_MAI","MAI",-0.2507,20,0.3513,0.1656,12,50
